School,G,W,L,WLPct,Srs,Sos,Tm,Opp,Pace,ORtg,FTr,X3PAr,TsPct,TrbPct,AstPct,StlPct,BlkPct,EFgPct,TovPct,OrbPct,FtFga,Season,TeamId,SRS_scaled,ORtg_scaled,SRS_ORtg,SRS_ORtg_scaled
holy cross,30,14,16,0.467,-6.07,-3.65,1981,2020,63.6,102.1,0.346,0.339,0.518,48.7,48.3,11.7,13.2,0.479,14.8,29.8,0.247,2015,1221,20.3456336617131,27.1971496437055,96.03,47.5427833054186
houston baptist,28,12,16,0.429,-12.93,-5.39,2028,2063,69.3,104,0.383,0.25,0.538,54.6,47.8,8.5,9.6,0.497,18.7,38.4,0.278,2015,1223,14.6184671898481,29.4536817102138,91.07,44.0721489000618
houston,32,13,19,0.406,-1.86,-0.71,2060,2097,63.9,99.2,0.32,0.451,0.498,49.2,53.3,8.9,12.3,0.465,17.2,33.6,0.218,2015,1222,23.8604107530473,23.7529691211401,97.34,47.6133798741874
howard,32,16,16,0.5,-9.8,-7.76,2032,2004,64.8,96.4,0.435,0.309,0.519,51.2,38.8,11.5,11.6,0.475,21.1,34.2,0.304,2015,1224,17.2315912506262,20.4275534441805,86.6,37.6591446948067
idaho state,30,7,23,0.233,-11.54,-5.47,1937,2075,64,100.5,0.378,0.264,0.517,48.7,48.2,10.7,6.6,0.487,16.1,29.9,0.246,2015,1226,15.7789280347303,25.2969121140142,88.96,41.0758401487446
idaho,30,13,17,0.433,-5.77,-4.8,2301,2269,68.2,110.7,0.372,0.331,0.566,52.9,50.3,6.7,4.9,0.535,15.2,31.2,0.264,2015,1225,20.5960928368676,37.4109263657957,104.93,58.0070192026633
illinois-chicago,34,10,24,0.294,-7.72,-0.22,2201,2389,64.9,99.5,0.398,0.336,0.495,49.5,57,9.3,7.4,0.442,14.6,31.1,0.294,2015,1227,18.9681081983637,24.1092636579572,91.78,43.0773718563209
illinois state,33,21,12,0.636,7.47,2.44,2267,2064,64.1,106,0.339,0.316,0.53,53.3,48,11.2,11.3,0.494,16.7,37.1,0.243,2015,1229,31.6496911003507,31.8289786223278,113.47,63.4786697226784
illinois,32,19,13,0.594,13.41,7.1,2223,2021,65.1,105.9,0.317,0.352,0.526,50.4,49.5,9.6,8.6,0.479,13.2,29.9,0.251,2015,1228,36.6087827684088,31.7102137767221,119.31,68.3189965451308
incarnate word,28,18,10,0.643,-5.56,-6.52,2230,2097,69.6,111.5,0.463,0.329,0.576,48.4,49.1,11.1,11.7,0.533,14.1,27,0.34,2015,1230,20.7714142594757,38.3610451306413,105.94,59.132459390117
indiana state,31,15,16,0.484,-0.58,1.12,2060,2101,66,98.6,0.421,0.394,0.536,48.2,58.4,8.4,10.1,0.496,18.7,26.5,0.295,2015,1232,24.9290365670396,23.0403800475059,98.02,47.9694166145455
indiana,33,20,13,0.606,13.38,7.32,2557,2357,66.9,115.4,0.327,0.396,0.573,52.3,51.5,7.5,9,0.546,14.7,35.3,0.234,2015,1231,36.5837368508933,42.9928741092637,128.78,79.576610960157
iona,34,26,8,0.765,4.12,-2.68,2707,2476,70.4,112.7,0.371,0.427,0.581,48.8,60.5,9.2,11.2,0.553,15.3,28.4,0.261,2015,1233,28.8528969777926,39.7862232779097,116.82,68.6391202557024
iowa state,33,25,8,0.758,19.16,10.07,2586,2286,69.8,112.2,0.374,0.368,0.575,50.9,58.3,9.1,10.3,0.547,14.1,28.5,0.26,2015,1235,41.4092502922024,39.1923990498812,131.36,80.6016493420836
iowa,32,21,11,0.656,15.82,8.29,2221,1980,64.4,107,0.396,0.307,0.526,52.9,60.7,10.2,12.2,0.478,14.8,35.8,0.295,2015,1234,38.6208048088162,33.0166270783848,122.82,71.637431887201
ipfw,30,16,14,0.533,-3.21,-3.69,2094,1999,65.1,107.2,0.406,0.383,0.568,50.5,58.5,8.8,9,0.539,16.2,25.6,0.278,2015,1236,22.7333444648522,33.2541567695962,103.99,55.9875012344484
iupui,31,10,21,0.323,-8.35,-1.99,1883,2080,64,92.3,0.328,0.262,0.502,50.8,50.3,10.7,5.4,0.465,20.6,31.1,0.23,2015,1237,18.4421439305393,15.5581947743468,83.95,34.0003387048861
jackson state,32,11,21,0.344,-12.24,-9.4,1941,2032,64.9,92.8,0.329,0.308,0.463,53.2,46.2,9.7,6.5,0.429,18.1,37.7,0.213,2015,1238,15.1945232927033,16.1520190023753,80.56,31.3465422950786
jacksonville state,31,12,19,0.387,-12.73,-4.59,1939,2126,64.8,95.3,0.383,0.352,0.483,47.3,57.3,9.4,11.7,0.434,16,30,0.274,2015,1240,14.7854399732844,19.1211401425178,82.57,33.9065801158022
jacksonville,32,10,22,0.313,-16.4,-6.16,2058,2303,65.1,97.2,0.4,0.331,0.506,46.9,48.6,9.8,6.9,0.47,16.4,28.1,0.265,2015,1239,11.7214893972283,21.3776722090261,80.8,33.0991616062544
james madison,32,19,13,0.594,-2.38,-1.25,2145,2181,64.3,103.8,0.436,0.367,0.556,49.5,55.7,9.9,7.7,0.518,18.1,28.7,0.307,2015,1241,23.4262815161129,29.2161520190024,101.42,52.6424335351153
kansas state,32,15,17,0.469,9.18,9.99,2016,2042,63.1,99.5,0.46,0.264,0.519,51.2,60.4,9.6,6.3,0.477,18.1,33.9,0.311,2015,1243,33.077308398731,24.1092636579572,108.68,57.1865720566883
kansas,34,26,8,0.765,19.56,13.03,2421,2199,66.8,106.2,0.43,0.283,0.538,52.5,54.9,9.7,12.8,0.493,16.4,34.9,0.31,2015,1242,41.743195859075,32.0665083135392,125.76,73.8097041726142
kennesaw state,32,10,22,0.313,-17.01,-4.78,2027,2363,66.8,94.8,0.292,0.372,0.501,47.7,46.2,8.1,9.9,0.464,18.5,30,0.214,2015,1244,11.2122224077475,18.5273159144893,77.79,29.7395383222369
kent state,32,21,11,0.656,2.52,-0.26,2103,2007,62.2,104.4,0.394,0.371,0.523,51.1,46.6,8.1,11.9,0.493,15.4,33.6,0.254,2015,1245,27.5171147103022,29.9287410926366,106.92,57.4458558029388
kentucky,34,34,0,1,29.45,8.51,2547,1835,63.9,116,0.438,0.281,0.56,55.4,56.6,10.2,17.3,0.518,13.8,40.4,0.316,2015,1246,50,43.7054631828979,145.45,93.7054631828979
la salle,33,17,16,0.515,5.11,4.17,2086,2055,64.3,96.8,0.364,0.294,0.506,49.6,53.9,9.8,9.7,0.467,17.4,29.6,0.253,2015,1247,29.6794122558023,20.9026128266033,101.91,50.5820250824056
lafayette,32,20,12,0.625,-2.66,-3.73,2374,2316,64.9,113.9,0.311,0.357,0.593,48.4,58.6,8.6,7.3,0.562,15,28.4,0.238,2015,1248,23.1925196193021,41.2114014251781,111.24,64.4039210444802
lamar,30,15,15,0.5,-9.49,-5.02,2146,2132,68.8,103.5,0.423,0.321,0.539,51.8,52.3,10.8,10.2,0.503,19.1,36.1,0.288,2015,1249,17.4903990649524,28.8598574821853,94.01,46.3502565471377
lehigh,30,16,14,0.533,-2.8,-3.35,2042,2000,66.3,101.4,0.362,0.29,0.531,51,59.3,8.3,8.3,0.491,17.1,29.6,0.262,2015,1250,23.0756386708966,26.3657957244656,98.6,49.4414343953622
liberty,32,8,24,0.25,-16.02,-6.45,2045,2222,66.7,95.4,0.392,0.285,0.52,51.3,49.9,8.2,7.3,0.479,21.2,32.4,0.276,2015,1251,12.0387376857572,19.2399049881235,79.38,31.2786426738807
lipscomb,31,14,17,0.452,-10.53,-4.85,2232,2322,69.2,102.9,0.404,0.435,0.529,49.6,58.3,8.1,6.1,0.49,16.5,29.9,0.281,2015,1252,16.6221405910837,28.1472684085511,92.37,44.7694089996347
long beach state,33,16,17,0.485,1.96,4.48,2188,2221,65.8,100,0.353,0.371,0.518,48.9,48.5,9.9,6.9,0.484,17.6,32,0.241,2015,1253,27.0495909166806,24.7030878859857,101.96,51.7526788026663
long island university,30,12,18,0.4,-8.92,-5.15,2022,2135,68.1,96.5,0.398,0.348,0.493,49.5,51.1,8.2,6.7,0.449,16.8,31.3,0.274,2015,1254,17.9662714977459,20.5463182897862,87.58,38.5125897875321
longwood,34,11,23,0.324,-12.98,-5.55,2311,2491,67.7,98.9,0.305,0.393,0.531,45.7,49.1,11.6,9.2,0.498,18.5,27.3,0.22,2015,1255,14.576723993989,23.396674584323,85.92,37.973398578312
louisiana-lafayette,33,20,13,0.606,0.5,-4.07,2553,2293,71.5,107.3,0.39,0.317,0.548,54.6,53.3,9.3,9.8,0.513,17.2,35.8,0.273,2015,1418,25.8306895975956,33.3729216152019,107.8,59.2036112127975
louisiana-monroe,33,21,12,0.636,-2.77,-3.67,2121,1970,63.3,100,0.263,0.29,0.504,52,54.1,7.9,10.3,0.473,15.4,32.3,0.187,2015,1419,23.1006845884121,24.7030878859857,97.23,47.8037724743978
louisiana state,32,22,10,0.688,11.67,5.71,2358,2167,69.7,103.3,0.334,0.285,0.535,51.5,57.8,10.3,14.6,0.505,17.7,34,0.23,2015,1261,35.1561195525129,28.6223277909739,114.97,63.7784473434868
louisiana tech,33,25,8,0.758,5.57,-2.06,2400,2134,67.9,106.3,0.346,0.358,0.533,46.8,53,12.6,15.1,0.501,13.8,29,0.238,2015,1256,30.0634496577058,32.1852731591449,111.87,62.2487228168507
louisville,32,24,8,0.75,18.65,8.96,2215,1905,66.3,104.1,0.388,0.326,0.512,52,47.8,12.5,14.3,0.478,15,35.1,0.256,2015,1257,40.9834696944398,29.5724465558195,122.75,70.5559162502593
loyola (il),32,19,13,0.594,2.05,0.98,1985,1930,60,103,0.333,0.321,0.558,48.6,57.5,10.6,7,0.534,18.5,28,0.224,2015,1260,27.1247286692269,28.2660332541568,105.05,55.3907619233837
loyola marymount,31,8,23,0.258,-3.62,5.79,1928,2188,62.9,98.1,0.357,0.279,0.508,49.6,57.2,9.6,9.2,0.467,18.4,33.7,0.254,2015,1258,22.3910502588078,22.4465558194774,94.48,44.8376060782853
loyola (md),30,11,19,0.367,-10.51,-3.14,1764,1985,62.3,92.2,0.376,0.287,0.47,50.9,47.8,8.7,8.1,0.428,17.3,32.1,0.253,2015,1259,16.6388378694273,15.4394299287411,81.69,32.0782677981684
maine,30,3,27,0.1,-17.6,-3.2,1812,2244,66.3,90.4,0.276,0.381,0.501,44.9,60.7,8.9,3.2,0.466,19.4,23.3,0.201,2015,1263,10.7196526966105,13.3016627078385,72.8,24.0213154044489
manhattan,32,19,13,0.594,-0.64,-3.01,2236,2160,67.9,101.4,0.479,0.365,0.54,48.4,60.7,11.7,8.3,0.497,18.5,31,0.333,2015,1264,24.8789447320087,26.3657957244656,100.76,51.2447404564743
marist,32,7,25,0.219,-10.34,-2.71,1957,2201,66.4,92.1,0.38,0.44,0.509,42.9,51.8,10.5,9.9,0.468,18.7,21.2,0.266,2015,1265,16.7807647353481,15.3206650831354,81.76,32.1014298184835
marquette,32,13,19,0.406,7.3,9.24,2083,2145,64.6,100,0.358,0.354,0.524,46.6,64.6,11.6,10.1,0.498,17,29,0.231,2015,1266,31.5077642344298,24.7030878859857,107.3,56.2108521204155
marshall,32,11,21,0.344,-6.22,0.01,2137,2288,71,93.7,0.346,0.428,0.499,48.6,55.8,9.3,8.8,0.469,19.1,29.1,0.224,2015,1267,20.2204040741359,17.2209026128266,87.48,37.4413066869625
maryland-baltimore county,30,4,26,0.133,-15.96,-4.93,1682,2013,64.4,86.7,0.374,0.325,0.496,46.5,57.2,10.2,9.3,0.463,21.8,23.3,0.241,2015,1420,12.0888295207881,8.90736342042755,70.74,20.9961929412157
maryland-eastern shore,32,18,14,0.563,-6.45,-7.04,2165,2146,65.1,103.6,0.477,0.335,0.551,51.6,59.8,11.5,4.3,0.518,20,35.2,0.315,2015,1271,20.0283853731842,28.978622327791,97.15,49.0070077009752
maryland,33,27,6,0.818,14.08,7.84,2293,2087,64.8,106.5,0.445,0.382,0.559,51.1,48.6,7.4,13.3,0.509,16.4,29.2,0.337,2015,1268,37.1681415929204,32.4228028503563,120.58,69.5909444432767
massachusetts-lowell,29,12,17,0.414,-11,-4.1,1780,1928,64.5,93.9,0.343,0.42,0.517,45.1,53,10.6,3.3,0.487,18.3,21.9,0.228,2015,1262,16.2297545500083,17.458432304038,82.9,33.6881868540464
massachusetts,32,17,15,0.531,3.87,4.96,2220,2255,68.3,100.7,0.424,0.273,0.518,51.5,55.6,9.8,10.4,0.473,17.6,33.9,0.298,2015,1269,28.6441809984973,25.5344418052257,104.57,54.1786228037229
mcneese state,31,15,16,0.484,-9.66,-5.03,2154,2210,66,104.4,0.309,0.331,0.501,49.1,51.6,10.8,11.6,0.474,13.5,34.6,0.201,2015,1270,17.3484721990316,29.9287410926366,94.74,47.2772132916681
memphis,32,18,14,0.563,7.37,3.12,2155,2019,65.6,101.8,0.316,0.277,0.513,53,57.4,10.6,15.7,0.484,17,37,0.211,2015,1272,31.5662047086325,26.8408551068884,109.17,58.4070598155209
mercer,33,18,15,0.545,-1.86,-4.08,2193,2055,60.7,107.1,0.406,0.326,0.534,51.1,57.5,10.2,7.6,0.497,14.7,33.7,0.278,2015,1273,23.8604107530473,33.1353919239905,105.24,56.9958026770378
miami (fl),33,21,12,0.636,12.49,7.22,2257,2083,62.5,107.8,0.347,0.407,0.546,50,56.2,9.1,9.9,0.508,14,28.8,0.256,2015,1274,35.8407079646018,33.9667458432304,120.29,69.8074538078322
miami (oh),32,13,19,0.406,-3.28,0.79,2123,2226,65.4,99.8,0.383,0.325,0.535,48.1,50.7,11.5,5.6,0.496,17.3,26,0.272,2015,1275,22.6749039906495,24.4655581947744,96.52,47.1404621854239
michigan state,34,23,11,0.676,17.53,9.06,2444,2156,63.1,110.6,0.319,0.347,0.555,55,64.6,8.2,12.4,0.538,15.3,34.6,0.202,2015,1277,40.0484221071965,37.29216152019,128.13,77.3405836273865
michigan,32,16,16,0.5,9.94,9.97,2071,2048,60.7,104.2,0.271,0.404,0.532,47,52,8.8,5.5,0.498,13.7,25.5,0.205,2015,1276,33.711804975789,29.6912114014252,114.14,63.4030163772141
middle tennessee,35,19,16,0.543,0.62,-0.35,2229,2179,62.3,99.8,0.376,0.36,0.519,52.1,51.5,9.5,9.1,0.48,17.8,31.5,0.265,2015,1292,25.9308732676574,24.4655581947744,100.42,50.3964314624317
milwaukee,30,14,16,0.467,-4.67,0.33,1963,2077,65.4,100.1,0.377,0.399,0.532,49.4,58.9,8,8.8,0.489,17.3,26.9,0.277,2015,1454,21.5144431457672,24.8218527315915,95.43,46.3362958773587
minnesota,33,18,15,0.545,12.66,7.53,2449,2233,68.2,108,0.33,0.332,0.55,48.1,58.3,13.8,8.6,0.526,15.4,30.6,0.221,2015,1278,35.9826348305226,34.2042755344418,120.66,70.1869103649644
mississippi state,31,12,19,0.387,2.87,5.06,1918,1986,64.2,96.4,0.464,0.283,0.521,51.7,42,9.7,8,0.475,20.3,32.3,0.322,2015,1280,27.8093170813158,20.4275534441805,99.27,48.2368705254963
mississippi valley state,32,6,26,0.188,-23.71,-7.55,2045,2562,71,89,0.33,0.272,0.463,44.2,45.8,10.5,2.7,0.427,18,30.1,0.216,2015,1290,5.61863416263149,11.6389548693587,65.29,17.2575890319902
mississippi,32,20,12,0.625,11.88,6.76,2324,2160,66.6,108.2,0.376,0.331,0.533,51.9,52.2,9.8,9.5,0.482,14.4,34.9,0.292,2015,1279,35.3314409751211,34.4418052256532,120.08,69.7732462007743
missouri-kansas city,33,14,19,0.424,-8.02,-5.09,2164,2202,65,99,0.407,0.365,0.51,46.9,52,12.2,9.8,0.468,17.5,32.2,0.282,2015,1282,18.7176490232092,23.5154394299287,90.98,42.233088453138
missouri state,31,11,20,0.355,-5,1.58,1850,1989,61.1,96.1,0.326,0.318,0.497,50.4,53.1,8.3,9.1,0.455,17,31.1,0.238,2015,1283,21.2389380530973,20.0712589073634,91.1,41.3101969604608
missouri,32,9,23,0.281,1.53,9.66,1935,2173,63.4,94.7,0.331,0.352,0.494,48.2,50.2,8.8,8.2,0.461,17.7,29.7,0.22,2015,1281,26.6905994322925,18.4085510688836,96.23,45.0991505011762
monmouth,33,18,15,0.545,-1.97,-2.7,2134,2110,64.1,99.7,0.41,0.297,0.525,48.8,51,10.8,10.6,0.479,17.5,30,0.296,2015,1284,23.7685757221573,24.3467933491686,97.73,48.1153690713259
montana state,30,7,23,0.233,-12.87,-3.46,1917,2152,66.4,96.3,0.289,0.413,0.506,49.3,52.7,6.6,9.3,0.471,18,29.3,0.208,2015,1286,14.6685590248789,20.3087885985748,83.43,34.9773476234538
montana,32,20,12,0.625,-1.62,-4.29,2283,2138,63.2,108.7,0.332,0.406,0.57,50.2,55.7,10.2,8.2,0.541,16.1,28.4,0.238,2015,1285,24.0607780931708,35.0356294536817,107.08,59.0964075468525
morehead state,34,17,17,0.5,-0.79,-3.45,2420,2255,67,105.5,0.354,0.331,0.537,53.4,58,12.1,8.5,0.499,17.2,35.8,0.254,2015,1287,24.7537151444315,31.2351543942993,104.71,55.9888695387307
morgan state,31,7,24,0.226,-16.1,-6.39,1898,2199,65.7,92.9,0.331,0.306,0.437,47.8,46.5,8.6,6.8,0.402,13.4,34.8,0.207,2015,1288,11.9719485723827,16.270783847981,76.8,28.2427324203637
mount st. mary's,30,15,15,0.5,-5.97,-4.24,1893,1945,63.1,97.9,0.304,0.42,0.503,48.3,51.7,10.5,11.7,0.472,16.4,30.6,0.207,2015,1291,20.4291200534313,22.209026128266,91.93,42.6381461816973
murray state,32,27,5,0.844,5.95,-3.88,2531,2167,67.4,116.4,0.408,0.337,0.579,52.7,55.6,10.9,9.1,0.549,14.7,36,0.285,2015,1293,30.3806979462348,44.1805225653207,122.35,74.5612205115554
navy,32,13,19,0.406,-7.64,-3.38,1952,2059,61.5,99.1,0.313,0.316,0.519,49.6,58.8,9.5,9.6,0.491,17.3,29.6,0.21,2015,1298,19.0348973117382,23.6342042755344,91.46,42.6691015872726
nebraska-omaha,29,12,17,0.414,-7.25,-5.21,2226,2256,73.4,103.7,0.427,0.313,0.537,50.1,45.6,11,7.8,0.497,16,30.6,0.298,2015,1303,19.360494239439,29.0973871733967,96.45,48.4578814128356
nebraska,31,13,18,0.419,6.24,7.92,1905,1957,63.8,94.7,0.365,0.351,0.503,48.5,47.4,9.5,8.6,0.462,17.2,26.7,0.258,2015,1304,30.6228084822174,18.4085510688836,100.94,49.031359551101
nevada-las vegas,33,18,15,0.545,5.7,3.67,2250,2125,65.1,103.5,0.33,0.352,0.535,49,56.1,8.4,18.9,0.51,15.3,27,0.219,2015,1424,30.1719819669394,28.8598574821853,109.2,59.0318394491247
nevada,31,9,22,0.29,-5.69,1.41,1874,2061,63.8,94.4,0.42,0.249,0.467,54,46.8,8.5,10.3,0.414,18,40.2,0.292,2015,1305,20.6628819502421,18.0522565320665,88.71,38.7151384823086
new hampshire,31,19,12,0.613,-3.28,-6.14,2071,1889,64.3,101.7,0.369,0.359,0.534,53.6,49.5,7.9,6.3,0.503,16.8,28.3,0.25,2015,1306,22.6749039906495,26.7220902612827,98.42,49.3969942519322
new mexico state,33,23,10,0.697,3.88,-4.35,2260,1958,63,107.9,0.446,0.257,0.551,55.3,50.5,10,9.6,0.513,18.5,40.1,0.31,2015,1308,28.6525296376691,34.0855106888361,111.78,62.7380403265052
new mexico,31,15,16,0.484,3.1,1.32,1921,1866,61.9,99,0.384,0.302,0.512,53.7,58,9.2,12.5,0.479,17.4,33.2,0.253,2015,1307,28.0013357822675,23.5154394299287,102.1,51.5167752121962
new orleans,29,11,18,0.379,-11.56,-6.06,2062,2133,70,100.8,0.48,0.228,0.523,51.4,39.6,10.6,8.2,0.477,18.9,35.8,0.331,2015,1309,15.7622307563867,25.6532066508314,89.24,41.4154374072181
niagara,30,8,22,0.267,-9.05,-1.58,1930,2154,65.5,97.5,0.412,0.326,0.502,50.1,52.6,8.7,6.4,0.456,17.7,32,0.286,2015,1310,17.8577391885123,21.7339667458432,88.45,39.5917059343555
nicholls state,29,10,19,0.345,-15.54,-5,1885,2117,68.4,94.2,0.427,0.328,0.519,49,55.4,10,11.8,0.489,21.5,31.6,0.267,2015,1311,12.4394723660043,17.8147268408551,78.66,30.2541992068594
njit,29,18,11,0.621,-3.7,-4.38,2065,1934,67.2,106,0.379,0.417,0.568,50.1,62.2,10.6,15.4,0.539,18.6,30,0.264,2015,1312,22.3242611454333,31.8289786223278,102.3,54.1532397677611
norfolk state,33,20,13,0.606,-4.52,-6.45,2310,2173,65.4,105.4,0.423,0.305,0.549,53.5,53,7.8,13.7,0.52,17.7,35.2,0.281,2015,1313,21.6396727333445,31.1163895486936,100.88,52.7560622820381
north carolina-asheville,31,15,16,0.484,-7.26,-5.72,2242,2183,69,104.5,0.349,0.368,0.542,50.5,54.2,10.6,12.8,0.505,17.6,32.4,0.253,2015,1421,19.3521456002672,30.0475059382423,97.24,49.3996515385094
north carolina a&t,32,9,23,0.281,-16.6,-7.87,1884,2112,63.3,92.6,0.39,0.342,0.49,49.8,45.8,8.4,11.9,0.448,20.3,34.3,0.266,2015,1299,11.554516613792,15.9144893111639,76,27.4690059249559
north carolina central,32,25,7,0.781,0.53,-9.27,2207,1746,62.7,109.5,0.382,0.356,0.577,53.2,57.2,10.7,12.8,0.551,17.6,32.4,0.261,2015,1300,25.855735515111,35.9857482185273,110.03,61.8414837336383
north carolina-greensboro,33,11,22,0.333,-7.85,-4.22,2290,2337,67.1,102.7,0.323,0.316,0.524,50.4,47.7,9.2,8.4,0.499,16.1,31.4,0.21,2015,1422,18.8595758891301,27.9097387173397,94.85,46.7693146064697
north carolina state,33,20,13,0.606,14.25,9.28,2323,2159,64.4,108.4,0.362,0.323,0.529,52.3,46.7,6.1,13.8,0.496,13.8,34.2,0.247,2015,1301,37.3100684588412,34.6793349168646,122.65,71.9894033757058
north carolina-wilmington,31,18,13,0.581,-1.91,-1.81,2168,2113,67.8,102,0.37,0.253,0.521,50,44.6,11.2,10.3,0.487,15.9,31.8,0.25,2015,1423,23.8186675571882,27.0783847980998,100.09,50.8970523552879
north carolina,35,24,11,0.686,21.32,11.81,2727,2394,69.4,111.4,0.348,0.226,0.546,55.5,60.9,9.5,9.3,0.514,15.2,39.9,0.243,2015,1314,43.2125563533144,38.2422802850356,132.72,81.45483663835
north dakota state,32,23,9,0.719,-2.18,-4.48,2065,1971,61.6,103.5,0.363,0.349,0.531,51.6,43.4,7.7,11.1,0.497,14,26,0.251,2015,1295,23.5932542995492,28.8598574821853,101.32,52.4531117817344
north dakota,30,8,22,0.267,-12.23,-3.8,2032,2201,68.2,98.5,0.384,0.332,0.525,47.4,49.5,9.2,8.6,0.491,16.3,25,0.26,2015,1315,15.2028719318751,22.9216152019002,86.27,38.1244871337753
north florida,34,23,11,0.676,-0.34,-5.76,2574,2304,67.6,112.1,0.388,0.424,0.585,50.5,56.3,9.3,13.3,0.552,16.1,29.8,0.281,2015,1316,25.1294039071631,39.0736342042755,111.76,64.2030381114387
north texas,31,14,17,0.452,-4.64,-0.4,2025,2113,67,97.1,0.403,0.291,0.506,49.5,42.7,10,8.7,0.476,17.5,31,0.254,2015,1317,21.5394890632827,21.2589073634204,92.46,42.7983964267031
northeastern,34,23,11,0.676,1.98,-1.61,2332,2210,63.5,106.8,0.421,0.308,0.582,53.9,59.8,8.3,11.2,0.546,19.1,29.6,0.305,2015,1318,27.0662881950242,32.7790973871734,108.78,59.8453855821976
northern arizona,33,19,14,0.576,-4.07,-4.45,2246,2208,64.9,104,0.373,0.348,0.514,53.9,53.3,7.3,10.6,0.466,15.4,35.3,0.277,2015,1319,22.0153614960761,29.4536817102138,99.93,51.4690432062899
northern colorado,30,15,15,0.5,-6.8,-6.19,2242,2203,64,114.8,0.356,0.316,0.567,49.5,46,10,5.1,0.536,13.8,33.9,0.254,2015,1294,19.7361830021706,42.2802850356295,108,62.0164680378001
northern illinois,30,14,16,0.467,-1.27,0.39,1971,1989,64,101.4,0.476,0.305,0.521,52.7,44.5,11.6,6.8,0.477,18.6,36.7,0.324,2015,1296,24.3529804641843,26.3657957244656,100.13,50.7187761886499
northern iowa,33,30,3,0.909,12.4,1.34,2157,1792,57.5,112,0.402,0.4,0.594,52,53.6,10.2,9,0.562,16.2,26.8,0.292,2015,1320,35.7655702120554,38.9548693586698,124.4,74.7204395707253
northern kentucky,30,13,17,0.433,-6.55,-4.19,2117,2079,65.1,107.5,0.299,0.383,0.547,50.1,48.7,8.8,8.1,0.527,15.4,29.6,0.197,2015,1297,19.944898981466,33.6104513064133,100.95,53.5553502878793
northwestern state,31,19,12,0.613,-4.43,-4.36,2608,2552,75.2,111.9,0.351,0.356,0.563,46.3,53.6,10.3,11,0.525,14.3,31.3,0.262,2015,1322,21.7148104858908,38.8361045130641,107.47,60.5509149989549
northwestern,32,15,17,0.469,6.5,7.6,2031,2066,60.5,103,0.286,0.38,0.536,49.5,63.3,6,12.2,0.504,16,27.6,0.209,2015,1321,30.8398731006846,28.2660332541568,109.5,59.1059063548414
notre dame,34,29,5,0.853,19.42,6.24,2680,2232,64.1,121.3,0.371,0.386,0.615,50.1,54.4,10.6,10.6,0.586,12.9,28.1,0.275,2015,1323,41.6263149106696,50,140.72,91.6263149106696
oakland,32,16,16,0.5,-0.68,1.75,2359,2385,66.3,108.7,0.38,0.382,0.561,50.1,60.4,8.7,5,0.532,16.3,30.5,0.261,2015,1324,24.8455501753214,35.0356294536817,108.02,59.8811796290031
ohio state,33,23,10,0.697,20.43,7,2502,2059,66.2,114.1,0.348,0.321,0.569,52.1,55.6,11.7,13.1,0.545,14.6,34.1,0.236,2015,1326,42.4695274670229,41.4489311163895,134.53,83.9184585834124
ohio,30,10,20,0.333,-3.6,1,2028,2166,67.2,100.1,0.29,0.38,0.531,48.3,46.9,7.6,12.3,0.498,16.8,25.9,0.213,2015,1325,22.4077475371514,24.8218527315915,96.5,47.2296002687429
oklahoma state,31,18,13,0.581,13.99,10.36,2087,1932,64.5,103.6,0.393,0.385,0.547,48.5,50.3,12.2,15.8,0.507,16.8,27.8,0.286,2015,1329,37.093003840374,28.978622327791,117.59,66.071626168165
oklahoma,32,22,10,0.688,19.92,10.73,2302,2008,68.1,104.8,0.327,0.336,0.532,50.7,48.9,10.1,12.9,0.494,15.3,30.9,0.24,2015,1328,42.0437468692603,30.4038004750594,124.72,72.4475473443197
old dominion,31,24,7,0.774,7.9,-0.74,2026,1758,61,106.3,0.314,0.327,0.519,54,55.7,10.4,9,0.491,14.8,36,0.212,2015,1330,32.0086825847387,32.1852731591449,114.2,64.1939557438836
oral roberts,32,18,14,0.563,-4.14,-2.31,2208,2170,66.2,103.4,0.433,0.303,0.525,50.1,46.6,9.1,9.9,0.479,15.5,31,0.309,2015,1331,21.9569210218734,28.7410926365796,99.26,50.698013658453
oregon state,31,17,14,0.548,6.26,5.3,1887,1834,62.1,97.7,0.363,0.314,0.51,48.2,56.1,12.5,11.4,0.472,16.6,29,0.252,2015,1333,30.639505760561,21.9714964370546,103.96,52.6110021976157
oregon,34,25,9,0.735,11.35,7.32,2569,2405,68.2,109.2,0.29,0.339,0.556,51,51.7,8.3,10.9,0.522,14.9,31.2,0.22,2015,1332,34.8889630990149,35.6294536817102,120.55,70.5184167807251
pacific,31,12,19,0.387,-2.56,3.95,1996,2115,62,102.5,0.408,0.358,0.512,52,53.3,6.4,7.1,0.479,16.9,35.6,0.265,2015,1334,23.2760060110202,27.6722090261283,99.94,50.9482150371485
penn state,34,18,16,0.529,8.15,7.48,2273,2250,65.8,100.1,0.347,0.359,0.516,49.7,42.3,9.1,11.4,0.48,15.9,29.7,0.241,2015,1336,32.2173985640341,24.8218527315915,108.25,57.0392512956255
pennsylvania,28,9,19,0.321,-8.11,-1.15,1687,1882,63.1,95,0.359,0.325,0.523,50.4,54.9,8.6,7.2,0.491,20.8,29.6,0.242,2015,1335,18.6425112706629,18.7648456057007,86.89,37.4073568763636
